full_name,commit_frequency,activity_consistency,commit_trend,active_days_ratio,peak_to_average_ratio,recent_vs_past_ratio,velocity_stability,has_description,has_license,forks_count,open_issues_count,stars,commit_count_total
nushell/nushell,20.9423,7.0776,-0.064586,1.0,1.719,1.1702,0.338,1,1,1916,6658,36260,10573
openai/CLIP,0.0192,0.1373,0.002092,0.0192,52.0,500000000.0,7.1414,1,1,3726,435,30488,56
xx025/carrot,0.0192,0.1373,0.001494,0.0192,52.0,0.0,7.1414,1,0,1449,815,17045,726
deepspeedai/DeepSpeed,7.1538,3.7845,-0.014428,0.9808,2.3763,1.4444,0.529,1,1,4531,3186,39924,2894
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5728,29,33418,356
square/retrofit,5.6346,3.5682,-0.001153,0.9615,3.727,0.3636,0.6333,1,1,7337,2749,43700,2610
BurntSushi/ripgrep,2.4615,6.8485,0.018441,0.5577,19.0937,1000000000.0,2.7822,1,1,2232,1714,54969,2060
krishnadey30/LeetCode-Questions-CompanyWise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5322,20,18242,9
mikeroyal/Self-Hosting-Guide,0.2308,1.0118,-0.012379,0.0962,30.3333,0.0,4.3843,1,0,819,28,16296,639
handlebars-lang/handlebars.js,0.0385,0.1923,-0.000768,0.0385,26.0,0.0,5.0,1,1,2050,1395,18393,2048
gorhill/uBlock,16.8269,10.1351,-0.378511,1.0,2.6149,0.1818,0.6023,1,1,3686,3445,58083,13513
babel/babel,9.5769,6.692,-0.019892,0.9808,2.9237,0.9032,0.6988,1,1,5744,8996,43717,18159
tc39/proposals,0.5192,2.5682,0.048792,0.0577,30.8148,0.0,4.9462,1,0,739,104,18898,1099
microsoft/fluentui,23.7308,11.153,-0.479211,1.0,2.107,0.9474,0.47,1,1,2821,13399,19509,19893
drawdb-io/drawdb,4.5192,3.2373,-0.05067,0.9423,3.5404,0.4286,0.7163,1,1,2388,245,32466,1002
JetBrains/kotlin,213.4423,61.966,-1.180611,1.0,1.7991,0.477,0.2903,1,0,6002,0,51191,128475
shengxinjing/programmer-job-blacklist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1799,338,28459,188
android/architecture-samples,0.0577,0.2332,-0.003714,0.0577,17.3333,0.0,4.0415,1,1,11797,487,45263,830
oblador/react-native-vector-icons,1.8077,4.5406,-0.041065,0.2885,14.383,1000000000.0,2.5118,1,1,2118,1322,17709,1319
FlowiseAI/Flowise,9.8077,7.0001,0.005037,0.9615,3.7725,2.5263,0.7137,1,1,22109,2266,43167,3121
moment/luxon,0.6923,1.6471,-0.031503,0.1923,11.5556,0.0,2.3792,1,1,761,1137,16085,1274
phaserjs/phaser,1.1154,3.1173,-0.106463,0.1731,14.3448,0.0,2.7948,1,1,7119,4554,38317,20083
floating-ui/floating-ui,2.1923,3.5248,-0.106975,0.4038,5.0175,4000000000.0,1.6078,1,1,1646,1457,31686,2396
servo/servo,83.5192,18.3759,0.55242,1.0,1.5086,1.0204,0.22,1,1,3238,14063,31379,52655
gravitational/teleport,75.1154,15.2727,-0.15709,1.0,1.3579,0.7437,0.2033,1,1,1911,11532,19085,23714
acmesh-official/acme.sh,9.5577,9.018,0.04956,0.8462,3.8712,0.0,0.9435,1,1,5343,3321,43829,6000
agarrharr/awesome-cli-apps,1.3462,3.9994,0.037309,0.2885,17.0857,0.6667,2.971,1,0,979,90,17382,696
gulpjs/gulp,0.1346,0.8327,-0.004397,0.0385,44.5714,0.0,6.1859,1,1,4209,1937,33063,1212
jonasschmedtmann/complete-javascript-course,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,17421,185,16712,12
cloudcommunity/Free-Certifications,0.0192,0.1373,-0.00047,0.0192,52.0,0.0,7.1414,1,1,2572,107,37626,329
MichaelCade/90DaysOfDevOps,0.0385,0.1923,-0.002732,0.0385,26.0,0.0,5.0,1,1,6482,89,28321,2000
quantopian/zipline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4888,987,18887,6226
microsoft/AirSim,0.0192,0.1373,-0.001238,0.0192,52.0,0.0,7.1414,1,1,4767,3404,17445,3561
Klocman/Bulk-Crap-Uninstaller,0.5,2.8182,-0.022112,0.0577,40.0,0.0,5.6364,1,1,713,569,15727,1601
Olshansk/interview,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3722,51,18179,144
apache/superset,45.6731,23.7889,0.874456,1.0,2.5617,0.8146,0.5209,1,1,15569,11659,67810,17558
USTC-Resource/USTC-Course,0.0962,0.6867,-0.00064,0.0192,52.0,0.0,7.1414,1,0,3512,13,15719,94
apache/flink,17.8462,6.8089,-0.071118,1.0,1.8491,1.1143,0.3815,1,1,13763,0,25199,37064
strapi/strapi,18.8462,9.1323,-0.078716,1.0,2.0163,0.9268,0.4846,1,1,8902,11218,69371,36326
withastro/astro,28.8077,15.2114,0.481004,1.0,2.4299,1.0364,0.528,1,1,2868,5580,53101,12058
istio/istio,25.1731,8.2269,-0.310467,1.0,1.8273,2.0,0.3268,1,1,8054,21178,37201,25348
darius-khll/golang-developer-roadmap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2192,45,18357,131
arialdomartini/Back-End-Developer-Interview-Questions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1987,26,16072,390
charmbracelet/vhs,1.0769,1.6272,-0.045676,0.5577,7.4286,1000000000.0,1.511,1,1,307,233,17173,721
restic/restic,12.3462,17.8712,-0.016136,0.7885,5.8318,0.5172,1.4475,1,1,1629,2817,29847,8999
ultralytics/yolov5,1.1923,1.7655,-0.009647,0.5,6.7097,0.0,1.4807,1,1,17157,9432,55166,2914
meta-llama/llama-cookbook,5.5769,9.2515,-0.252455,0.6154,10.0414,0.0,1.6589,1,1,2593,438,17792,2209
233boy/v2ray,0.0962,0.2948,-4.3e-05,0.0962,10.4,0.0,3.0659,1,1,16563,1318,26846,199
browserbase/stagehand,15.2885,8.7185,0.194698,1.0,2.6164,2.08,0.5703,1,1,1008,224,16686,597
slab/quill,0.1923,1.3734,-0.003842,0.0192,52.0,0.0,7.1414,1,1,3553,3775,46019,5752
baomidou/mybatis-plus,2.2308,3.1232,-0.114061,0.5769,5.8276,0.0,1.4001,1,1,4415,5651,17088,6118
explosion/spaCy,0.9808,2.6996,0.00047,0.2115,13.2549,0.0,2.7526,1,1,4574,5719,32385,16246
anthropics/claude-code,10.2115,7.3937,0.257961,0.9231,3.0358,1.2581,0.7241,1,0,1933,6744,32125,207
vadimdemedes/ink,2.6538,4.0186,0.11722,0.6154,7.1594,1.6316,1.5143,1,1,726,378,31098,635
zhayujie/chatgpt-on-wechat,3.7308,10.7723,0.125758,0.4038,20.1031,0.3068,2.8874,1,1,9404,2002,38738,1365
agalwood/Motrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4708,1340,49031,1170
surrealdb/surrealdb,11.6154,7.6111,0.152907,1.0,3.9603,2.2963,0.6553,1,1,1042,2169,29963,3910
gitlabhq/gitlabhq,45.4231,5.3326,-0.025527,1.0,1.1228,0.9588,0.1174,1,1,5765,0,24069,115699
aristocratos/btop,6.0385,5.8308,0.096303,0.8846,3.9745,0.4167,0.9656,1,1,791,759,26640,1288
getzola/zola,2.7692,3.4841,0.055238,0.8269,7.2222,0.6667,1.2582,1,1,1065,1628,15817,2346
torvalds/linux,1550.6923,449.1878,-15.4425,1.0,1.3729,0.2156,0.2897,1,1,57534,0,201105,1382660
facebookresearch/detectron2,0.3077,0.7731,-0.006659,0.1923,13.0,0.0,2.5125,1,1,7768,3557,32665,1552
postcss/postcss,0.7692,1.409,-0.039785,0.3269,7.8,500000000.0,1.8317,1,1,1581,1025,28864,4160
assafelovic/gpt-researcher,10.0192,11.4396,-0.416588,0.9231,5.3896,0.4138,1.1418,1,1,3074,585,23255,2719
tusen-ai/naive-ui,5.9808,19.7577,-0.101298,0.5192,23.4084,0.9231,3.3035,1,1,1816,3459,17634,9114
PostHog/posthog,273.4808,96.895,4.528259,1.0,2.1574,1.0525,0.3543,1,1,1887,7768,28810,27474
hpcaitech/ColossalAI,3.1731,5.2062,-0.176599,0.5769,7.8788,0.0,1.6407,1,1,4526,1727,41121,3959
notable/notable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1173,1650,23274,460
danielmiessler/SecLists,41.9423,8.1746,-0.082601,1.0,1.7166,0.8421,0.1949,1,1,24584,298,65326,5350
highlightjs/highlight.js,0.4808,1.1847,-0.033168,0.1923,12.48,0.0,2.4641,1,1,3683,2178,24580,6702
